name,value,wetland_type,sum_area_nwi_km2
id,CA_Los Angeles_A39_A_268,Freshwater Forested/Shrub Wetland,1.3349466587076313e-4
id,CA_Los Angeles_A39_A_268,Riverine,2.416137990373536e-4
id,CA_Los Angeles_A3_A_257,Freshwater Pond,0.02184402276554213
id,CA_Los Angeles_A40_A_270,Freshwater Forested/Shrub Wetland,4.6284434893442087e-4
id,CA_Los Angeles_A40_A_270,Riverine,0.01099435470916576
id,CA_Los Angeles_A41_A_271,Freshwater Forested/Shrub Wetland,0.00291054145366552
id,CA_Los Angeles_A41_A_271,Riverine,0.00644145602737269
id,CA_Los Angeles_A43_A_273,Freshwater Forested/Shrub Wetland,5.49622900980059e-4
id,CA_Los Angeles_A43_A_273,Freshwater Pond,2.7413767904951235e-4
id,CA_Los Angeles_A49_A_277,Freshwater Forested/Shrub Wetland,0.0025432555703769
id,CA_Los Angeles_A4_A_269,Freshwater Forested/Shrub Wetland,3.672022021066805e-4
id,CA_Los Angeles_A4_A_269,Freshwater Pond,0.01233982565190395
id,CA_Los Angeles_A4_A_269,Riverine,0.00652919766739971
id,CA_Los Angeles_A55_A_284,Riverine,1.7186709239613263e-6
id,CA_Los Angeles_A56_A_285,Riverine,0.00778093367121694
id,CA_Los Angeles_A59_A_287,Estuarine and Marine Deepwater,0.00190854942620848
id,CA_Los Angeles_A59_A_287,Estuarine and Marine Wetland,0.0029250432074595
id,CA_Los Angeles_A59_A_287,Freshwater Emergent Wetland,5.821868895902299e-4
id,CA_Los Angeles_A59_A_287,Freshwater Forested/Shrub Wetland,0.00914792391891878
id,CA_Los Angeles_A59_A_287,Riverine,0.04308866819098471
id,CA_Los Angeles_A60_A_289,Riverine,0.01544818402941745
id,CA_Los Angeles_A7_A_290,Riverine,7.067430772235966e-4
id,CA_Los Angeles_A8_A_291,Riverine,0.03332079432535684
id,CA_Los Angeles_A9_A_292,Freshwater Emergent Wetland,0.01151951801590388
id,CA_Los Angeles_A9_A_292,Freshwater Forested/Shrub Wetland,0.00485978275124874
id,CA_Los Angeles_A9_A_292,Freshwater Pond,0.01522418530556358
id,CA_Los Angeles_A9_A_292,Riverine,0.0089586699128107
id,CA_Los Angeles_B105_B_300,Freshwater Forested/Shrub Wetland,0.0015209045214625
id,CA_Los Angeles_B105_B_300,Freshwater Pond,0.00158486649007862
id,CA_Los Angeles_B10_B_294,Riverine,0.00247300174873298
id,CA_Los Angeles_B113_B_309,Riverine,4.597079948887112e-4
id,CA_Los Angeles_B117_B_313,Estuarine and Marine Deepwater,7.097580989152193e-4
id,CA_Los Angeles_B117_B_313,Estuarine and Marine Wetland,7.83351985014975e-4
id,CA_Los Angeles_B118_B_314,Estuarine and Marine Deepwater,0.5132543227550022
id,CA_Los Angeles_B118_B_314,Estuarine and Marine Wetland,0.03026818121255235
id,CA_Los Angeles_B11_B_305,Riverine,0.00405278756203686
id,CA_Los Angeles_B122_B_320,Riverine,0.00290349450163357
id,CA_Los Angeles_B14_B_322,Riverine,0.00187677196884155
id,CA_Los Angeles_B15_B_323,Riverine,0.00167331169086616
id,CA_Los Angeles_B16_B_324,Freshwater Forested/Shrub Wetland,7.18126135924831e-4
id,CA_Los Angeles_B16_B_324,Riverine,0.00295884292997641
id,CA_Los Angeles_B19_B_327,Riverine,0.00537492577577813
id,CA_Los Angeles_B21_B_330,Freshwater Forested/Shrub Wetland,4.8414112993417073e-4
id,CA_Los Angeles_B21_B_330,Riverine,0.001084618408829
id,CA_Los Angeles_B22_B_331,Freshwater Emergent Wetland,1.4089315371308475e-4
id,CA_Los Angeles_B22_B_331,Riverine,0.01176089437888911
id,CA_Los Angeles_B26_B_335,Riverine,0.01690483947199725
id,CA_Los Angeles_B27_B_336,Freshwater Forested/Shrub Wetland,4.607397344801575e-5
id,CA_Los Angeles_B27_B_336,Freshwater Pond,0.00180598337272345
id,CA_Los Angeles_B33_B_343,Riverine,8.93412213113159e-4
id,CA_Los Angeles_B35_B_345,Freshwater Pond,0.02153485160152148
id,CA_Los Angeles_B35_B_345,Riverine,0.00131055913510569
id,CA_Los Angeles_B36_B_346,Riverine,0.00231305704848631
id,CA_Los Angeles_B38_B_348,Riverine,5.275198829174042e-5
id,CA_Los Angeles_B40_B_351,Riverine,0.00175125804198673
id,CA_Los Angeles_B41_B_352,Riverine,0.00258309627935406
id,CA_Los Angeles_B43_B_354,Riverine,0.0037745571799986
id,CA_Los Angeles_B46_B_357,Freshwater Forested/Shrub Wetland,0.00953995985316026
id,CA_Los Angeles_B46_B_357,Riverine,0.00202262202315601
id,CA_Los Angeles_B47_B_358,Freshwater Forested/Shrub Wetland,0.00179416885586895
id,CA_Los Angeles_B47_B_358,Riverine,2.9696832954405545e-4
id,CA_Los Angeles_B48_B_359,Freshwater Forested/Shrub Wetland,0.00200025223413747
id,CA_Los Angeles_B48_B_359,Riverine,8.026165989346956e-4
id,CA_Los Angeles_B49_B_360,Freshwater Forested/Shrub Wetland,0.00379372981159924
id,CA_Los Angeles_B51_B_363,Freshwater Forested/Shrub Wetland,3.8679823307979314e-4
id,CA_Los Angeles_B52_B_364,Freshwater Forested/Shrub Wetland,0.00522475714807283
id,CA_Los Angeles_B53_B_365,Freshwater Forested/Shrub Wetland,0.00370526475635946
id,CA_Los Angeles_B55_B_367,Riverine,0.00195365684091222
id,CA_Los Angeles_B59_B_370,Freshwater Forested/Shrub Wetland,1.2212800536694703e-4
id,CA_Los Angeles_B59_B_370,Riverine,6.14687951582484e-4
id,CA_Los Angeles_B5_B_361,Riverine,0.0059171422112516
id,CA_Los Angeles_B64_B_376,Freshwater Forested/Shrub Wetland,0.00634020030393154
id,CA_Los Angeles_B64_B_376,Freshwater Pond,0.00484459794900234
id,CA_Los Angeles_B64_B_376,Riverine,0.00572325599782878
id,CA_Los Angeles_B68_B_380,Freshwater Forested/Shrub Wetland,1.919855325728931e-4
id,CA_Los Angeles_B69_B_381,Riverine,0.00320088848480508
id,CA_Los Angeles_B74_B_387,Freshwater Emergent Wetland,6.337910902398217e-4
id,CA_Los Angeles_B74_B_387,Freshwater Pond,0.00722982922479595
id,CA_Los Angeles_B75_B_388,Lake,0.00136616937173064
id,CA_Los Angeles_B75_B_388,Riverine,8.689796802576748e-4
id,CA_Los Angeles_B76_B_389,Freshwater Forested/Shrub Wetland,9.718853787740882e-4
id,CA_Los Angeles_B76_B_389,Riverine,0.00945898871385509
id,CA_Los Angeles_B7_B_382,Riverine,8.881785055213841e-4
